Program,Institution,Covered Fields,Degree Type(s),Open Status,Application Deadline,Program Website
Biomedical Engineering,Cal Poly San Luis Obispo,"Engineering, Human Health, Regenerative Medicine",Master of Science (MS),CLOSED,CLOSED,https://grad.calpoly.edu/program.php?pid=8
Assistive Technology Engineering,California State University Northridge,"Computer Science, Engineering, Mechanical Engineering, Neuroscience ",Master of Science (MS),CLOSED,CLOSED,https://www.csun.edu/academics/majors-and-programs/assistive-technology-engineering-ms
Biostatistics,"California State University, East Bay","Biology, Statistics",Professional Science Masters (PSM),CLOSED,CLOSED,https://www.csueastbay.edu/statistics/biostatistics-psm/index.html
Biotechnology,"California State University, East Bay","Biology, Chemistry, Genetics, Microbiology",Biotechnology Certificate,CLOSED,CLOSED,https://www.csueastbay.edu/biology/graduate-program/biotechnology-certificate-program-bcp/index.html
Biotechnology,"California State University, Los Angeles","Biochemistry, Biology, Physics, Medical Technology, Microbiology",Post-Baccalaureate Certificate,CLOSED,CLOSED,https://ecatalog.calstatela.edu/preview_program.php?catoid=54&poid=25411&returnto=6231
Bioinformatics,San José State University,"Bioinformatics, Biology, Computer Science, Mathematics",Master of Science (MS),CLOSED,CLOSED,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=499
Biomedical Engineering,San José State University,"Engineering, Physical Science",Master of Science (MS),CLOSED,CLOSED,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=508#program-objectives
"Biomedical Engineering, Biomedical Devices Concentration",San José State University,"Chemistry, Engineering, Physics",Master of Science (MS),CLOSED,CLOSED,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=441
Biotechnology,San José State University,"Drug Development, Finance, Marketing, Molecular Biology",Master of Biotechnology (MBT),CLOSED,CLOSED,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=509
Computational Precision Health,"University of California, Berkeley","Computer Science, Mathematics, Heatlh Science",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://computationalhealth.berkeley.edu/
Biomedical Engineering,"University of California, Davis","Engineering, Medicine, Translational Medicine",Master of Science (MS),CLOSED,CLOSED,https://www.ucdavis.edu/graduate-programs/biomedical-engineering
Biomedical Engineering,"University of California, Davis","Engineering, Medicine, Translational Medicine",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://www.ucdavis.edu/graduate-programs/biomedical-engineering
Biostatistics,"University of California, Davis","Bioinformatics, Biology, Computer Science, Public Heatlh, Statisitics",Master of Science (MS),CLOSED,CLOSED,https://biostatistics.ucdavis.edu/grad/masters-program-biostatistics 
Biostatistics,"University of California, Davis","Bioinformatics, Biology, Computer Science, Public Heatlh, Statisitics",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://biostatistics.ucdavis.edu/grad/phd-program-biostatistics 
Bioengineering,"University of California, Los Angeles","Engineering, Life Science, Physical Science",Master of Science (MS),CLOSED,CLOSED,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/bioengineering/
Bioengineering,"University of California, Los Angeles","Engineering, Life Science, Physical Science",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/bioengineering/
Bioinformatics,"University of California, Los Angeles","Biology, Computer Science, Mathematics, Statistics",Master of Science (MS),CLOSED,CLOSED,https://grad.ucla.edu/programs/life-sciences/bioinformatics-department/bioinformatics/
Bioinformatics,"University of California, Los Angeles","Biology, Computer Science, Mathematics, Statistics",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://grad.ucla.edu/programs/life-sciences/bioinformatics-department/bioinformatics/
Biostatistics,"University of California, Los Angeles","Biology, Computer Science, Statistics",Master of Science (MS),CLOSED,CLOSED,https://grad.ucla.edu/programs/school-of-public-health/biostatistics-department/biostatistics/
Biostatistics,"University of California, Los Angeles","Biology, Computer Science, Statistics",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://grad.ucla.edu/programs/school-of-public-health/biostatistics-department/biostatistics/
Computational Precision Health,"University of California, San Francisco","Computer Science, Mathematics, Heatlh Science",Doctor of Philosophy (PhD),CLOSED,CLOSED,https://computationalhealth.berkeley.edu/
Master of Science in Biomedical Imaging (MSBI),"University of California, San Francisco","Engineering, Mathematics, Health Science",Master of Science (MS),CLOSED,CLOSED,https://radiology.ucsf.edu/education/graduate-programs/msbi-program
Biomolecular Engineering & Bioinformatics,"University of California, Santa Cruz","Biology, Computer Science, Statisitics",Master of Science (MS),CLOSED,CLOSED,https://www.gradadmissions.ucsc.edu/bmeb-ms 
Biomolecular Engineering & Bioinformatics,"University of California, Santa Cruz","Biology, Computer Science, Statisitics",Doctor of Philosophy (PhD),CLOSED,CLOSED,"https://www.gradadmissions.ucsc.edu/bmeb-pbse 
"